Countries and areas,Adolescent population Aged 10-19 (thousands),Adolescent population Proportion of total population (%),Adolescents currently married/ in union male,Adolescents currently married/ in union female,Births by age 18 (%),Adolescent birth rate,Justification of wife-beating among adolescents  male,Justification of wife-beating among adolescents female,Use of mass media among adolescents (%) male,Use of mass media among adolescents (%) female,Lower secondary school gross enrolment ratio,Upper secondary school gross enrolment ratio,Comprehensive knowledge of HIV among adolescents (%) male,Comprehensive knowledge of HIV among adolescents (%) female
Afghanistan,"8,587",25,3,17,20,90,71,78,70,52,67,43,4,1
Albania,446,15,1,8,3,18,  37 ,  24 ,  97 ,  99 ,101,89,21,36
Algeria,"5,942",15,    ,3,1,12,    ,  55 ,    ,    ,132,63,    ,7
Andorra,    ,    ,    ,    ,    ,5,    ,    ,    ,    ,    ,    ,    ,    
Angola,"6,486",23,2,18,38,191,24,25,84,77,36,21,29,31
Anguilla,    ,    ,    ,    ,    ,46,    ,    ,    ,    ,    ,    ,    ,    
Antigua and Barbuda,17,17,    ,    ,    ,67,    ,    ,    ,    ,117,82,55,40
Argentina,"7,020",16,    ,    ,12,70,    ,  2 ,    ,    ,128,85,    ,36
Armenia,356,12,0,5,1,23,  25 ,  9 ,  88 ,  92 ,88,90,9,15
Australia,"2,897",12,    ,    ,    ,14,    ,    ,    ,    ,112,186,    ,    
Austria,873,10,    ,    ,    ,8,    ,    ,    ,    ,100,100,    ,    
Azerbaijan,"1,358",14,    ,9,4,47,    ,  24 ,    ,  98 ,91,    ,2,3
Bahamas,55,14,    ,    ,    ,40,    ,    ,    ,    ,    ,    ,    ,    
Bahrain,158,11,    ,    ,    ,15,    ,    ,    ,    ,101,103,    ,    
Bangladesh,"32,575",20,    ,44,36,83,    ,29,    ,54,83,48,    ,12
Barbados,37,13,    ,1,7,49,    ,  5 ,    ,  98 ,107,113,    ,66
Belarus,904,10,1,7,3,22,  3 ,  3 ,    ,    ,102,119,53,51
Belgium,"1,253",11,    ,    ,    ,8,    ,    ,    ,    ,185,158,    ,    
Belize,78,21,11,21,17,64,8,6,92,92,91,60,    ,39
Benin,"2,440",22,1,16,19,98,19,31,68,57,70,38,29,22
Bhutan,148,19,    ,15,15,28,    ,  70 ,    ,    ,96,69,    ,22
Bolivia (Plurinational State of),"2,216",20,4,13,20,89,    ,  17 ,  100 ,  97 ,96,81,24,20
Bosnia and Herzegovina,410,12,0,1,    ,11,  5 ,  1 ,  100 ,  100 ,    ,    ,41,42
Botswana,431,19,    ,    ,    ,39,    ,    ,    ,    ,91,    ,    ,    
Brazil,"33,760",16,1,4,    ,65,    ,    ,    ,    ,106,91,    ,    
British Virgin Islands,    ,    ,    ,    ,    ,27,    ,    ,    ,    ,111,80,    ,    
Brunei Darussalam,70,16,    ,    ,    ,17,    ,    ,    ,    ,105,93,    ,    
Bulgaria,620,9,    ,2,5,43,    ,    ,    ,    ,90,108,    ,    
Burkina Faso,"4,306",23,2,32,28,136,  40 ,  39 ,  61 ,  55 ,47,13,31,29
Burundi,"2,243",21,1,9,11,65,  56 ,  74 ,  83 ,  69 ,54,25,50,46
Cabo Verde,114,21,2,8,22,92,  24 ,  23 ,  88 ,  88 ,115,73,    ,    
Cambodia,"3,052",19,3,16,7,57,  26 ,  46 ,  77 ,  74 ,63,    ,42,33
Cameroon,"5,206",22,1,20,28,128,45,37,80,64,68,43,30,26
Canada,"3,968",11,    ,    ,    ,13,    ,    ,    ,    ,100,119,    ,    
Central African Republic,"1,117",24,11,55,45,229,  83 ,  79 ,    ,    ,23,9,26,17
Chad,"3,433",24,3,38,51,203,54,69,30,23,26,18,12,10
Chile,"2,591",14,    ,    ,    ,50,    ,    ,    ,    ,103,100,    ,    
China,"159,642",11,1,2,    ,6,    ,    ,    ,    ,99,90,    ,    
Colombia,"8,139",17,    ,13,20,85,    ,    ,    ,    ,106,82,    ,21
Comoros,173,22,8,16,17,71,  29 ,  43 ,  79 ,  67 ,66,52,21,18
Congo,"1,083",21,2,16,26,147,  76 ,  73 ,  56 ,  68 ,65,38,25,16
Cook Islands,    ,    ,    ,    ,    ,56,    ,    ,    ,    ,96,73,    ,    
Costa Rica,759,16,2,10,13,67,    ,  3 ,    ,    ,133,109,    ,29
Côte d'Ivoire,"5,409",23,1,21,31,125,  51 ,  51 ,  73 ,  62 ,55,28,21,15
Croatia,447,11,    ,    ,    ,12,    ,    ,    ,    ,104,93,    ,    
Cuba,"1,336",12,7,16,6,50,  5 ,  4 ,    ,    ,101,100,48,59
Cyprus,143,12,    ,    ,    ,4,    ,    ,    ,    ,100,100,    ,    
Czechia,936,9,    ,    ,    ,11,    ,    ,    ,    ,101,110,    ,    
Democratic People's Republic of Korea,"3,839",15,    ,    ,    ,1,    ,    ,    ,    ,92,95,    ,7
Democratic Republic of the Congo,"17,401",22,1,21,27,135,  69 ,  75 ,  49 ,  38 ,56,37,20,17
Denmark,690,12,    ,    ,    ,2,    ,    ,    ,    ,117,144,    ,    
Djibouti,196,21,1,3,    ,21,    ,    ,    ,    ,53,41,    ,16
Dominica,    ,    ,    ,    ,    ,47,    ,    ,    ,    ,115,81,39,49
Dominican Republic,"2,007",19,    ,28,21,90,    ,3,    ,98,86,74,39,    
Ecuador,"3,005",18,    ,16,    ,100,    ,    ,    ,    ,116,96,    ,    
Egypt,"17,041",18,    ,14,7,56,    ,  46 ,  100 ,  100 ,99,73,5,3
