Countries and areas,Birth registration (%) Urban,Birth registration (%) Rural,Birth registration (%) Ratio of urban to rural,Skilled birth attendant (%) Urban,Skilled birth attendant (%)  Rural,Skilled birth attendant (%) Ratio of urban to rural,Stunting prevalence in children under 5 (moderate & severe) Urban,Stunting prevalence in children under 5 (moderate & severe) Rural,Stunting prevalence in children under 5 (moderate & severe) Ratio of rural to urban,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Urban,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Rural,Oral rehydration salts (ORS) treatment for children with diarrhoea (%) Ratio of urban to rural,Primary school net attendance ratio Urban,Primary school net attendance ratio Rural,Primary school net attendance ratio Ratio of urban to rural,"Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Urban","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Rural","Comprehensive knowledge of HIV/AIDS (%)
Females 15-24 Ratio of urban to rural",Use of basic sanitation services (%)  Urban,Use of basic sanitation services (%)  Rural,Use of basic sanitation services (%) Ratio of urban to rural
Afghanistan,64,36,1.8,79,42,1.9,,,,44,47,0.9,80,59,1.4,2,1,2.1,56,33,1.7
Albania,99,98,1.0,100,99,1.0,23,23,1.0,,,,93,92,1.0,51,26,2.0,98,97,1.0
Algeria,100,100,1.0,98,95,1.0,11,12,1.1,25,26,1.0,98,97,1.0,11,7,1.7,90,82,1.1
Andorra,,,,,,,,,,,,,,,,,,,100,100,1.0
Angola,33,14,2.4,68,21,3.2,32,46,1.4,49,32,1.5,84,61,1.4,42,9,4.4,62,21,2.9
Anguilla,,,,,,,,,,,,,,,,,,,97,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,95,94,1.0
Armenia,99,98,1.0,100,100,1.0,6,13,2.2,,,,100,99,1.0,25,14,1.7,96,83,1.2
Australia,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,100,100,1.0
Azerbaijan,96,92,1.0,99,95,1.0,15,21,1.4,11,11,1.0,68,67,1.0,7,2,3.3,92,87,1.1
Bahamas,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,
Bangladesh,23,19,1.2,61,36,1.7,31,38,1.2,83,75,1.1,91,92,1.0,14,8,1.8,54,43,1.2
Barbados,98,100,1.0,98,100,1.0,8,7,0.9,,,,100,99,1.0,67,69,1.0,,,
Belarus,,,,100,100,1.0,3,8,2.6,,,,91,93,1.0,56,57,1.0,94,95,1.0
Belgium,,,,,,,,,,,,,,,,,,,99,99,1.0
Belize,97,95,1.0,98,96,1.0,11,18,1.7,54,56,1.0,99,94,1.0,55,33,1.7,91,84,1.1
Benin,88,82,1.1,83,73,1.2,29,38,1.3,26,25,1.1,83,69,1.2,25,18,1.3,25,5,4.6
Bhutan,100,100,1.0,96,67,1.4,28,36,1.3,64,60,1.1,98,94,1.0,32,15,2.1,72,57,1.3
Bolivia (Plurinational State of),79,72,1.1,94,68,1.4,14,25,1.8,23,20,1.2,98,96,1.0,32,9,3.5,64,27,2.4
Bosnia and Herzegovina,99,100,1.0,100,100,1.0,11,8,0.7,,,,95,97,1.0,50,47,1.1,99,92,1.1
Botswana,78,67,1.2,99,90,1.1,,,,,,,,,,,,,75,39,1.9
Brazil,,,,98,94,1.0,7,8,1.1,,,,,,,,,,91,58,1.6
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,96,97,1.0
Bulgaria,,,,,,,,,,,,,,,,,,,87,84,1.0
Burkina Faso,93,74,1.3,95,77,1.2,21,37,1.8,46,38,1.2,83,45,1.8,46,24,1.9,48,12,4.0
Burundi,87,74,1.2,96,84,1.1,28,59,2.1,30,36,0.8,91,84,1.1,61,51,1.2,46,51,0.9
Cabo Verde,,,,91,64,1.4,,,,,,,,,,,,,73,51,1.4
Cambodia,84,72,1.2,98,88,1.1,24,34,1.4,30,36,0.8,97,92,1.1,55,33,1.7,88,39,2.3
Cameroon,84,53,1.6,88,49,1.8,23,38,1.7,24,12,2.1,94,79,1.2,37,18,2.1,56,19,2.9
Canada,,,,,,,,,,,,,,,,,,,,,
Central African Republic,78,52,1.5,74,22,3.4,38,42,1.1,23,12,2.0,86,66,1.3,19,16,1.2,49,9,5.4
Chad,36,6,5.6,54,12,4.6,32,42,1.3,28,18,1.5,72,45,1.6,25,6,4.0,33,3,11.3
Chile,,,,100,99,1.0,,,,,,,,,,,,,100,99,1.0
China,,,,100,100,1.0,4,11,2.6,,,,97,96,1.0,,,,86,61,1.4
Colombia,99,98,1.0,99,88,1.1,11,17,1.5,57,49,1.2,94,94,1.0,26,17,1.5,88,72,1.2
Comoros,90,87,1.0,92,79,1.2,26,35,1.4,40,37,1.1,90,82,1.1,24,17,1.4,47,29,1.6
Congo,95,85,1.1,98,84,1.2,20,30,1.5,31,22,1.4,,,,16,10,1.5,20,6,3.6
Cook Islands,,,,,,,,,,,,,,,,,,,,,
Costa Rica,100,99,1.0,99,97,1.0,,,,43,35,1.2,97,95,1.0,37,27,1.4,98,94,1.0
Côte d'Ivoire,85,54,1.6,84,45,1.9,22,34,1.6,22,14,1.5,85,71,1.2,22,8,2.7,45,13,3.5
Croatia,,,,,,,,,,,,,,,,,,,98,96,1.0
