,Country,% Internet Use,% Women in Govt,G to B in Primary Ed,G to B Secondary Education,G to B Tertiary Education,Population mid-year estimates (millions),Population mid-year estimates for males (millions),Population mid-year estimates for females (millions),Sex ratio (males per 100 females),Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Surface area (thousand km2),GDP in current prices (millions of US dollars),GDP per capita (US dollars),GDP in constant 2010 prices (millions of US dollars),GDP real rates of growth (percent)
0,Albania,71.8,27.9,0.97,0.93,1.58,2.92,1.48,1.45,102.0,18.0,17.8,106.7,29,"11,387","3,895","13,033",2.2
1,Australia,86.5,28.7,1.00,0.87,1.43,23.80,11.86,11.94,99.4,18.8,20.4,3.1,"7,692","1,246,800","52,388","1,493,121",2.8
2,Austria,87.9,34.4,0.99,0.96,1.19,8.68,4.25,4.43,95.9,14.1,24.3,105.3,84,"381,806","43,994","413,555",1.1
3,Bahrain,95.9,7.5,1.02,1.01,1.87,1.37,0.85,0.53,161.3,20.8,4.1,"1,805.1",1,"31,126","22,689","30,781",2.9
4,Bangladesh,18.0,20.3,1.06,1.10,0.70,161.20,81.34,79.86,101.9,29.4,7.1,"1,238.4",148,"194,466","1,206","155,582",6.6
5,Belarus,74.4,34.5,1.00,0.98,1.29,9.49,4.41,5.07,87.0,16.1,20.4,46.7,208,"56,455","5,952","60,712",-3.8
6,Belize,47.1,9.4,0.95,1.01,1.62,0.36,0.18,0.18,99.4,32.5,5.9,15.8,23,"1,779","4,950","1,611",3.8
7,Brunei Darussalam,94.9,9.1,0.99,1.01,1.60,0.42,0.22,0.20,106.3,23.7,7.1,79.2,6,"12,930","30,968","13,639",-0.4
8,Bulgaria,63.4,23.8,0.99,0.97,1.25,7.18,3.49,3.69,94.7,14.0,27.1,66.1,111,"50,201","6,994","54,636",3.5
9,Burkina Faso,15.9,11.0,0.98,0.95,0.51,18.11,9.02,9.09,99.2,45.6,3.8,66.2,273,"10,416",575,"11,688",3.9
10,Cabo Verde,57.2,23.6,0.93,1.10,1.45,0.53,0.27,0.27,99.2,31.2,6.7,132.2,4,"1,596","2,995","1,792",1.0
11,Afghanistan,,,,,,,,,,,,,,"20,608",611,"20,890",-1.8
12,Algeria,,,,,,,,,,,,,,"165,979","4,163","189,797",3.7
13,Andorra,,,,,,,,,,,,,,"2,812","36,040","3,258",0.8
14,Angola,,,,,,,,,,,,,,"116,194","4,171","104,520",0.9
15,Anguilla,,,,,,,,,,,,,,331,"22,622",281,3.1
16,Antigua and Barbuda,,,,,,,,,,,,,,"1,359","13,602","1,270",4.0
17,Argentina,,,,,,,,,,,,,,"644,903","14,853","458,903",2.7
18,Armenia,,,,,,,,,,,,,,"10,553","3,618","12,236",3.2
19,Aruba,,,,,,,,,,,,,,"2,692","25,796","2,554",-0.5
20,Azerbaijan,,,,,,,,,,,,,,"53,076","5,519","58,515",1.0
21,Bahamas,,,,,,,,,,,,,,"11,240","29,056","9,967",-3.1
22,Barbados,,,,,,,,,,,,,,"4,463","15,704","4,448",0.9
23,Belgium,,,,,,,,,,,,,,"455,838","40,383","509,186",1.7
24,Benin,,,,,,,,,,,,,,"8,454",799,"9,108",6.5
25,Bermuda,,,,,,,,,,,,,,"5,891","95,006","5,244",0.4
26,Bhutan,,,,,,,,,,,,,,"2,059","2,615","2,069",6.6
27,Bolivia (Plurin. State of),,,,,,,,,,,,,,"33,000","3,077","25,664",4.9
28,Bosnia and Herzegovina,,,,,,,,,,,,,,"16,210","4,584","18,351",3.1
29,Botswana,,,,,,,,,,,,,,"14,421","6,528","16,146",-1.7
30,Brazil,,,,,,,,,,,,,,"1,802,212","8,750","2,331,897",-3.8
31,British Virgin Islands,,,,,,,,,,,,,,955,"31,698",889,0.3
32,Burundi,,,,,,,,,,,,,,"2,811",276,"2,404",-0.4
33,Cambodia,,,,,,,,,,,,,,"18,050","1,163","15,904",7.0
34,Cameroon,,,,,,,,,,,,,,"30,905","1,353","33,558",5.7
35,Canada,,,,,,,,,,,,,,"1,552,523","43,186","1,802,512",1.0
36,Cayman Islands,,,,,,,,,,,,,,"3,753","62,592","3,577",2.8
37,Central African Republic,,,,,,,,,,,,,,"1,632",359,"1,431",4.8
38,Chad,,,,,,,,,,,,,,"11,733",838,"13,101",3.8
39,Chile,,,,,,,,,,,,,,"243,999","13,737","264,555",2.3
40,China,,,,,,,,,,,,,,"11,064,687","7,920","8,908,435",6.9
41,"China, Hong Kong SAR",,,,,,,,,,,,,,"309,386","42,699","264,388",2.4
42,"China, Macao SAR",,,,,,,,,,,,,,"45,362","75,485","32,199",-21.6
43,Colombia,,,,,,,,,,,,,,"291,520","6,045","359,120",3.1
44,Comoros,,,,,,,,,,,,,,988,"1,271","1,179",2.0
45,Congo,,,,,,,,,,,,,,"11,092","2,220","14,081",-13.2
46,Cook Islands,,,,,,,,,,,,,,285,"16,350",293,3.8
47,Costa Rica,,,,,,,,,,,,,,"54,776","11,393","44,694",3.6
48,Côte dIvoire,,,,,,,,,,,,,,"33,119","1,433","33,960",8.8
49,Croatia,,,,,,,,,,,,,,"49,519","11,690","59,343",2.4
50,Cuba,,,,,,,,,,,,,,"87,206","7,609","73,869",4.4
51,Curaçao,,,,,,,,,,,,,,"3,152","19,948","2,916",0.3
52,Cyprus,,,,,,,,,,,,,,"19,681","23,236","23,627",2.0
53,Czechia,,,,,,,,,,,,,,"186,830","17,619","225,493",5.3
54,Dem. People's Rep. Korea,,,,,,,,,,,,,,"16,283",648,"14,377",-1.1
55,Dem. Rep. of the Congo,,,,,,,,,,,,,,"37,918",498,"31,338",6.9
56,Denmark,,,,,,,,,,,,,,"302,673","53,206","343,294",2.3
57,Djibouti,,,,,,,,,,,,,,"1,634","1,762","1,394",9.7
58,Dominica,,,,,,,,,,,,,,541,"7,392",495,-2.6
59,Dominican Republic,,,,,,,,,,,,,,"68,802","6,535","68,042",7.0
60,Ecuador,,,,,,,,,,,,,,"99,290","6,150","86,419",0.1
61,Egypt,,,,,,,,,,,,,,"317,745","3,388","245,076",4.4
62,El Salvador,,,,,,,,,,,,,,"23,166","3,670","20,318",2.4
63,Equatorial Guinea,,,,,,,,,,,,,,"13,176","11,209","16,457",-9.1
64,Eritrea,,,,,,,,,,,,,,"4,442",916,"2,719",2.6
65,Estonia,,,,,,,,,,,,,,"22,567","17,157","23,341",1.7
66,Eswatini,,,,,,,,,,,,,,"4,020","3,048","5,176",0.4
67,Ethiopia,,,,,,,,,,,,,,"63,079",632,"43,538",10.4
68,Fiji,,,,,,,,,,,,,,"4,362","4,890","3,756",3.8
69,Finland,,,,,,,,,,,,,,"232,465","42,405","247,409",0.1
70,France,,,,,,,,,,,,,,"2,438,208","36,574","2,781,288",1.1
71,French Polynesia,,,,,,,,,,,,,,"5,262","18,950","5,982",1.3
